symbol,date,Close,High,Low,Open,Volume
,,CAT,CAT,CAT,CAT,CAT
CAT,2020-01-02,133.74484252929688,133.7626161843284,131.47918279786612,132.3854494019037,3311900
CAT,2020-01-03,131.88790893554688,133.23842215146453,131.00829594591727,132.18111326542342,3100600
CAT,2020-01-06,131.79904174804688,131.99451128281768,130.19975171688864,130.8483613355948,2549600
CAT,2020-01-07,130.05763244628906,131.11494147055438,129.2846341819851,130.91947189174923,2841900
CAT,2020-01-08,131.212646484375,132.00341831010044,130.12869744133863,130.45743552991,2153200
CAT,2020-01-09,130.88388061523438,131.47028915470082,130.17308361806218,131.32812704380137,2272500
CAT,2020-01-10,129.8354949951172,131.24819570457112,129.56894436606427,131.00829878269064,2393700
CAT,2020-01-13,130.4485626220703,130.4574426723756,129.32017259617572,130.1908920326006,3355200
CAT,2020-01-14,130.3241729736328,131.47921681766968,129.99543483578515,131.00831651743874,2742200
CAT,2020-01-15,129.337890625,130.3774254714156,129.0091391025,129.91540546501216,2640500
CAT,2020-01-16,131.38143920898438,131.43474661317293,129.93320501833472,130.10200727915662,3070900
CAT,2020-01-17,132.22247314453125,132.6608933549504,131.16670408800798,131.71248694080668,3331500
CAT,2020-01-21,130.4956512451172,132.30298597817168,130.35249196356222,131.70352184563333,2476700
CAT,2020-01-22,127.61466979980469,131.13093356245082,127.5162494738759,130.8535709127672,3602400
CAT,2020-01-23,127.7220458984375,128.13362557354876,125.08260880124912,126.88100187065513,3182700
CAT,2020-01-24,125.60150909423828,127.67726414744462,124.59940773698804,127.54306084855536,2526200
CAT,2020-01-27,121.44104766845703,123.30207772420572,121.29790201218646,122.48787451498634,2920500
CAT,2020-01-28,122.3447265625,123.1141907667581,121.34262507287511,122.59524852180051,2763800
CAT,2020-01-29,121.48579406738281,123.25734625012436,121.38737374320695,123.10524459502057,2620000
CAT,2020-01-30,121.11892700195312,121.65576749891498,118.91791099973562,120.57314416926292,3862600
CAT,2020-01-31,117.52215576171875,120.77895481284095,116.79741691078615,119.73212800916838,6785700
CAT,2020-02-03,116.10847473144531,119.14159213541954,115.68795286151317,117.60266394171488,4385300
CAT,2020-02-04,119.45476531982422,120.59107023004745,118.71214171093338,118.99846034914752,3501600
CAT,2020-02-05,122.97105407714844,122.9978947454083,121.18160338022236,121.28002371465031,4448100
CAT,2020-02-06,122.8010482788086,123.76735324781806,121.79896030461718,123.65103458923345,2283800
CAT,2020-02-07,119.3294906616211,122.12104245478957,118.99844671997234,121.71840520936293,3812300
CAT,2020-02-10,120.17949676513672,120.18843910236471,118.80161229632498,119.03423593606185,2331600
CAT,2020-02-11,121.85263061523438,122.78313884245897,120.84158674189277,121.22632568802327,2381900
CAT,2020-02-12,124.8946762084961,125.20783546142542,123.55258852866505,123.82995113144263,3222000
CAT,2020-02-13,125.0110092163086,125.708893797868,123.85680603359026,125.26153118648769,3318800
CAT,2020-02-14,123.46315002441406,124.92154299113521,122.47894672577118,124.80523798487722,2813400
CAT,2020-02-18,122.2015609741211,123.98206891343517,120.85947326725518,122.98892346425751,3869700
CAT,2020-02-19,122.4521255493164,122.76528491757291,121.73634245932075,122.38948821469435,2134900
CAT,2020-02-20,122.51471710205078,124.26838453001983,121.86157151796449,121.91525284646154,2678200
CAT,2020-02-21,122.7652816772461,122.97106470249423,120.88635282215425,122.13002061788029,2855600
CAT,2020-02-24,118.25582122802734,119.76790891324019,118.1484585789924,118.57792282755447,4964800
CAT,2020-02-25,115.41954803466797,119.1237097278232,114.74850415074548,118.97160808575816,4840200
CAT,2020-02-26,114.74850463867188,117.20005655323189,114.12219974149896,116.00111443301768,3902500
CAT,2020-02-27,110.29277801513672,114.99903471805716,110.24804584858647,112.37748947555382,7369000
CAT,2020-02-28,111.16065216064453,111.16065216064453,106.49913488807195,106.9822872944587,8300700
CAT,2020-03-02,114.16694641113281,114.41746840183372,110.06016057883099,111.88540100192478,6100200
CAT,2020-03-03,111.28592681884766,115.92060399856241,110.74909302115576,113.63010948776386,6358100
CAT,2020-03-04,113.98800659179688,114.02379642357236,111.2233018164988,112.79802028355834,5074700
CAT,2020-03-05,109.12962341308594,111.70642928789704,108.47647107533776,110.18539932226336,6015300
CAT,2020-03-06,108.62860870361328,109.0222832182658,106.32021564779697,106.47231731996301,5767900
CAT,2020-03-09,93.1140365600586,101.09498244316056,93.07824673857526,101.09498244316056,8636200
CAT,2020-03-10,95.27928924560547,97.57873284778798,88.67621940763135,97.202949883901,8293200
CAT,2020-03-11,90.08989715576172,93.72247987140125,89.53516498452785,92.87249352429365,6543600
CAT,2020-03-12,82.54735565185547,84.35469770095429,78.28846143827397,83.65681307975562,10285900
CAT,2020-03-13,89.15043640136719,89.39201607687475,80.65054528333316,88.03202967531007,8718600
CAT,2020-03-16,83.57628631591797,94.70666344274129,79.18318219656638,79.63054480784642,9899000
CAT,2020-03-17,89.65145874023438,89.86619769455731,83.18259962445663,85.90256494331241,7206100
CAT,2020-03-18,89.57987976074219,92.11194661405607,83.30785487800706,84.0952105111316,6995100
CAT,2020-03-19,92.16565704345703,93.40932469106592,87.01203729345143,88.78359642902639,6870800
