symbol,date,Close,High,Low,Open,Volume
,,MSFT,MSFT,MSFT,MSFT,MSFT
MSFT,2024-01-02,366.7073669433594,371.68090924219496,362.653379124267,369.6637976615887,25258600
MSFT,2024-01-03,366.4404602050781,369.07060847824977,364.37392159938355,364.8683096918958,23083500
MSFT,2024-01-04,363.810302734375,368.91239134112124,363.04895595417344,366.5096725142683,20901500
MSFT,2024-01-05,363.62237548828125,367.8839976517199,362.3864054832225,364.82868342022056,21004600
MSFT,2024-01-08,370.4845275878906,370.988813066157,364.86828645661416,365.1550098059731,23134000
MSFT,2024-01-09,371.5721740722656,371.76991118457596,367.0237980384077,367.83460167151895,20830000
MSFT,2024-01-10,378.47381591796875,379.85812659429405,372.0962281951205,372.14565492996707,25514200
MSFT,2024-01-11,380.31292724609375,386.2950101261023,376.1106291407019,381.66754557205917,27850800
MSFT,2024-01-12,384.1098327636719,384.3174672848406,380.33270101643035,381.1632692761554,21661200
MSFT,2024-01-16,385.8896179199219,389.607425521524,383.2693674241333,389.2415832112696,27202300
MSFT,2024-01-17,385.0986633300781,385.73146439966996,380.4909626708054,383.6253964652766,22234100
MSFT,2024-01-18,389.4492492675781,389.56789757510035,385.74133878224427,387.32338662433057,23392100
MSFT,2024-01-19,394.19537353515625,394.19537353515625,389.0833879187689,391.31803151810533,29331100
MSFT,2024-01-22,392.0596008300781,396.12345590728927,389.1723614900859,395.5301842429018,27016900
MSFT,2024-01-23,394.42279052734375,394.89741393072353,389.5085719753557,391.30815176623645,20525900
MSFT,2024-01-24,398.0417175292969,401.0772674984209,395.95541437351613,397.0331767370542,24867000
MSFT,2024-01-25,400.3257751464844,402.44177048645173,398.0120426913666,399.7819603610059,21021200
MSFT,2024-01-26,399.39630126953125,401.611180132996,397.91313719960004,399.83136514404845,17803300
MSFT,2024-01-29,405.1213073730469,405.37839879124937,399.7917902036895,401.5023835612577,24510200
MSFT,2024-01-30,404.0040283203125,408.4139613345208,401.8880631298829,407.6328499314226,33477600
MSFT,2024-01-31,393.1176452636719,410.65855632678165,392.7518028819116,402.3923712474526,47871100
MSFT,2024-02-01,399.2480163574219,403.4206527472509,397.2902287972473,397.3198908735355,30657700
MSFT,2024-02-02,406.6045227050781,408.0184653335539,399.03049390369324,399.27768793699545,28256700
MSFT,2024-02-05,401.0970458984375,406.5452122317709,399.4556738410708,405.2993446059863,25352300
MSFT,2024-02-06,400.9388122558594,403.3909878537456,398.38778318773774,401.3244494199643,18382600
MSFT,2024-02-07,409.4027404785156,409.6499345085534,402.82738531452173,402.8669448083425,22340500
MSFT,2024-02-08,409.46209716796875,410.8958347261349,407.8998440510151,409.40277301004994,21225300
MSFT,2024-02-09,415.82977294921875,416.0967618057892,410.4310639420329,410.58927173757974,22032800
MSFT,2024-02-12,410.5991516113281,416.01762504580444,410.09486617050925,415.83965259906256,21202900
MSFT,2024-02-13,401.7595520019531,405.46746274434776,398.86244498390863,400.39503602074313,27824900
MSFT,2024-02-14,405.6426696777344,405.989387335356,400.7689119546156,404.23602806912544,20401200
MSFT,2024-02-15,402.740234375,405.2860956459485,400.4915726451575,404.30540669126674,21825500
MSFT,2024-02-16,400.2637023925781,404.45397083978673,399.6495323619633,404.1270543842311,22296500
MSFT,2024-02-20,399.0056457519531,400.68965547755954,394.27055684913546,399.4513996951192,24307900
