symbol,date,Close,High,Low,Open,Volume
,,IBM,IBM,IBM,IBM,IBM
IBM,2021-01-04,97.52178955078125,99.07974285291874,96.81362781720786,99.02466702570953,5417443
IBM,2021-01-05,99.25286865234375,99.6777645127575,98.04899286163078,98.3637307685784,6395872
IBM,2021-01-06,101.73143768310547,103.769369228765,99.70923581148969,99.85087195030441,8322708
IBM,2021-01-07,101.4953842163086,102.65205219285153,100.92098421655689,102.3215720399471,4714740
IBM,2021-01-08,101.13343048095703,101.75503829405967,99.91381250470316,101.16490238663997,4891305
IBM,2021-01-11,101.17276763916016,102.0383015359349,100.44886987276688,100.67705374144626,5859587
IBM,2021-01-12,101.66848754882812,102.17206945252919,100.66919171810017,101.57406554942725,3921663
IBM,2021-01-13,99.86660766601562,102.09338320525525,99.50465562247379,101.62127320918133,8030874
IBM,2021-01-14,101.47964477539062,102.4159905247207,100.36232300174767,100.73214302714263,7848347
IBM,2021-01-15,101.02326202392578,101.69207762598667,100.45673010469551,100.93670801298975,5131153
IBM,2021-01-19,101.51898956298828,101.96749565705048,100.78722373293154,101.72356952749065,5646308
IBM,2021-01-20,102.35303497314453,103.12414056327282,101.15702728965209,102.05403305227142,5856240
IBM,2021-01-21,103.58838653564453,104.05262852626811,102.32943499660728,102.3845108298021,13116003
IBM,2021-01-22,93.32791137695312,94.97241897585948,92.34435149656419,94.97241897585948,39814421
IBM,2021-01-25,93.30429077148438,94.05966035469169,92.41515304969221,93.4459206060514,14315974
IBM,2021-01-26,96.3808822631836,96.45956831563915,93.17841455825287,93.77641851001663,11186656
IBM,2021-01-27,96.36512756347656,98.1906109729299,95.69630566667182,96.05825766997305,12705239
IBM,2021-01-28,94.48457336425781,96.93953908572148,94.47670538753124,96.62480117872583,8455969
IBM,2021-01-29,93.7213363647461,95.44453002898737,93.55609629363529,94.59473202238895,12369473
IBM,2021-02-01,94.84652709960938,95.16913298907538,93.42233537639002,94.34294518358816,6538023
IBM,2021-02-02,93.98099517822266,95.20848122721027,93.85510126630206,93.918051361918,6633627
IBM,2021-02-03,93.72919464111328,94.26424840368554,92.94234680954142,93.66624455403577,7024308
IBM,2021-02-04,95.22420501708984,95.2871488253539,93.53248342171528,94.3508031636318,4771957
IBM,2021-02-05,95.83008575439453,95.84582170792312,94.83078991221865,95.20847791414899,4775722
IBM,2021-02-08,97.26215362548828,97.5532876282143,96.31006556373073,96.4831736257433,6158848
IBM,2021-02-09,97.35781860351562,97.75649978531443,96.52059066702608,97.19834994872807,4933982
IBM,2021-02-10,97.46944427490234,98.4023622716543,96.64816260376726,98.09935847815085,5090673
IBM,2021-02-11,96.40897369384766,97.4455423609468,96.18571372912182,97.27809420579202,5629154
IBM,2021-02-12,96.3212661743164,96.76778611821246,95.7551367653144,96.48074121897699,4049275
IBM,2021-02-16,95.73919677734375,96.16179740106789,95.17307369464174,95.80298807201248,6945231
IBM,2021-02-17,95.65943145751953,96.1298706118573,94.901934761278,95.10127532731849,4141219
IBM,2021-02-18,96.26543426513672,96.43288240181772,95.44415253771858,96.08204626212904,5646413
IBM,2021-02-19,94.87802124023438,96.28935151625535,94.39162946567457,96.2813784021822,6881320
IBM,2021-02-22,96.36910247802734,96.58439569194215,94.43949393749473,94.48733263177301,6149643
IBM,2021-02-23,96.2494888305664,96.75979999637767,95.52389083765573,96.41693696863047,4739740
IBM,2021-02-24,98.24290466308594,98.4661646274279,96.09800292847792,96.32126289281987,6087720
IBM,2021-02-25,97.65284729003906,99.15188834596398,97.54919043267479,98.37047217665479,5953623
IBM,2021-02-26,94.83018493652344,97.4774244966094,94.79031936248182,97.4774244966094,9467346
IBM,2021-03-01,96.2734146118164,97.53324956250731,95.57174227973054,95.96244402263498,5977367
IBM,2021-03-02,95.94648742675781,97.19834912683736,95.89067562518107,96.27340421136691,4732418
IBM,2021-03-03,97.56514739990234,97.78043425325805,95.6674312987591,96.08205877384727,7744898
IBM,2021-03-04,95.77108764648438,98.25087936771033,94.69464702234134,97.27809561177538,8439651
IBM,2021-03-05,97.93989562988281,98.67346672473984,95.88270477311549,96.19367533604031,7268968
IBM,2021-03-08,99.51866149902344,101.14527860635724,97.9797550110564,98.06746563042317,7572203
IBM,2021-03-09,99.01632690429688,100.81039219805714,99.00038067535641,99.98911050186409,5867014
IBM,2021-03-10,101.95861053466797,102.25363491718522,99.35921563061633,99.71005182529517,7581199
IBM,2021-03-11,101.37651062011719,102.57255402087328,101.08945944034942,102.13400095599788,5383657
IBM,2021-03-12,101.75128173828125,101.80709990540602,100.95392571138841,101.41639182519305,4194565
IBM,2021-03-15,102.52472686767578,102.66027618599077,101.69547200133414,101.87886637290283,3577948
IBM,2021-03-16,102.25360870361328,102.47687498468662,101.53598390295751,102.28550752274916,4867247
IBM,2021-03-17,102.883544921875,103.25032731044111,101.65560246019766,102.42904553973864,4488804
IBM,2021-03-18,103.70482635498047,104.45434372328032,101.89481467396166,102.8117801872225,6104142
IBM,2021-03-19,102.7798843383789,104.00782039235914,102.48485999724105,103.67292411347711,10297870
IBM,2021-03-22,104.09552764892578,104.23108333264467,101.974551758872,102.46093723492801,4356485
IBM,2021-03-23,104.02377319335938,104.90086679405407,103.49751576029844,104.00782696254247,4556794
IBM,2021-03-24,104.1513442993164,105.33941479560337,104.11147872422771,104.41447618456274,4189230
IBM,2021-03-25,106.10488891601562,106.24044461121844,103.47359525514713,103.92012155658196,5809484
IBM,2021-03-26,108.74415588378906,108.82388703735835,106.14475483369584,106.28030415798418,5823710
IBM,2021-03-29,108.32953643798828,109.2943407364615,108.05045829021002,108.42521382934207,4835344
