symbol,date,Close,High,Low,Open,Volume
,,^IXIC,^IXIC,^IXIC,^IXIC,^IXIC
NASDAQ,2025-04-09,17124.970703125,17202.939453125,15270.2802734375,15295.4404296875,13479740000
NASDAQ,2025-04-10,16387.310546875,16712.369140625,15894.26953125,16635.44921875,11861670000
NASDAQ,2025-04-11,16724.4609375,16753.41015625,16228.0400390625,16358.5302734375,9444890000
NASDAQ,2025-04-14,16831.48046875,17136.560546875,16661.259765625,17120.439453125,9667260000
NASDAQ,2025-04-15,16823.169921875,16979.9609375,16753.220703125,16842.390625,7483050000
NASDAQ,2025-04-16,16307.16015625,16600.369140625,16066.4599609375,16499.689453125,7909190000
NASDAQ,2025-04-17,16286.4501953125,16408.509765625,16181.169921875,16399.970703125,7046290000
NASDAQ,2025-04-21,15870.900390625,16066.7900390625,15685.330078125,16052.759765625,6678730000
NASDAQ,2025-04-22,16300.419921875,16410.560546875,16038.73046875,16079.9404296875,6981900000
NASDAQ,2025-04-23,16708.05078125,17029.859375,16642.66015625,16880.2890625,8564870000
NASDAQ,2025-04-24,17166.0390625,17174.349609375,16744.970703125,16754.759765625,7607400000
NASDAQ,2025-04-25,17382.939453125,17404.490234375,17110.720703125,17182.109375,7412930000
NASDAQ,2025-04-28,17366.130859375,17467.349609375,17128.7109375,17390.9296875,10313290000
NASDAQ,2025-04-29,17461.3203125,17500.419921875,17256.19921875,17270.759765625,13001930000
NASDAQ,2025-04-30,17446.33984375,17483.8203125,16959.529296875,17099.98046875,8595330000
NASDAQ,2025-05-01,17710.740234375,17922.830078125,17688.109375,17793.140625,8409690000
NASDAQ,2025-05-02,17977.73046875,18048.830078125,17812.0390625,17868.759765625,8180190000
NASDAQ,2025-05-05,17844.240234375,17965.640625,17792.080078125,17817.009765625,7075320000
NASDAQ,2025-05-06,17689.66015625,17830.349609375,17592.880859375,17623.2109375,6958220000
NASDAQ,2025-05-07,17738.16015625,17820.2890625,17503.009765625,17706.830078125,7977870000
NASDAQ,2025-05-08,17928.140625,18096.0,17776.0,17920.150390625,8500390000
NASDAQ,2025-05-09,17928.919921875,18068.900390625,17853.83984375,18022.55078125,8835140000
NASDAQ,2025-05-12,18708.33984375,18710.220703125,18472.7109375,18674.560546875,10717670000
NASDAQ,2025-05-13,19010.08984375,19065.9609375,18745.5,18761.23046875,9242230000
NASDAQ,2025-05-14,19146.810546875,19174.55078125,19023.609375,19074.720703125,11744820000
NASDAQ,2025-05-15,19112.3203125,19207.220703125,18967.779296875,19031.240234375,10546350000
NASDAQ,2025-05-16,19211.099609375,19213.419921875,19038.48046875,19151.5390625,10509820000
NASDAQ,2025-05-19,19215.4609375,19227.220703125,18937.419921875,18937.419921875,13080030000
NASDAQ,2025-05-20,19142.7109375,19186.689453125,19015.630859375,19132.060546875,9047100000
NASDAQ,2025-05-21,18872.640625,19241.41015625,18799.19921875,19002.939453125,11112460000
NASDAQ,2025-05-22,18925.740234375,19061.109375,18840.33984375,18888.05078125,8289710000
NASDAQ,2025-05-23,18737.2109375,18841.51953125,18599.689453125,18622.380859375,8730370000
NASDAQ,2025-05-27,19199.16015625,19210.94921875,18961.689453125,19014.439453125,93974540000
