symbol,title,published_date,sentiment
SFM,"Sprouts Farmers Market Inc (SFM): Price Up $0.05 (0.17)% Over Past Day, Up $0.04 (0.13)% Over Past Hour",2021-12-30T15:19:32.000000Z,0.0
SFM,Is Sprouts Farmers (SFM) a Suitable Pick for Value Investors?,2021-12-30T14:45:00.000000Z,0.34
SFM,Sprouts Farmers Market (NASDAQ:SFM) Hits New 12-Month High at $29.50,2021-12-29T08:44:44.000000Z,0.0
SFM,3 Stocks With Incredible Growth Potential to Buy for 2024,2023-12-21T11:50:00.000000Z,0.4391
SFM,"Year in review: 2023 food retail stocks — Sprouts, Costco, Natural Grocers outpace a flattish industry",2023-12-15T20:10:00.000000Z,0.3612
SFM,Sprouts Farmers Market to add more than 400 stores to Uber Eats for grocery delivery,2023-12-11T11:11:00.000000Z,0.0
SFM,Barclays Initiates Coverage on Sprouts Farmers Market (SFM) with Equal Weight Rating | SFM Stock News,2025-07-21T11:31:15.000000Z,0.0
SFM,"Sprouts Farmers Market Stock: Fruitful, But Growth Looks Limited (NASDAQ:SFM)",2025-07-19T03:02:26.000000Z,0.2617
SFM,Smart Investors Are Watching These 3 Undervalued Stocks,2025-07-15T15:51:00.000000Z,0.4019
